a_id;x_accel;y_accel;z_accel;timestamp
2;477;448;402;1466951569.024821
2;478;458;344;1466951569.0452213
2;467;468;310;1466951569.0653796
2;517;514;262;1466951569.085606
2;542;616;306;1466951569.1057966
2;573;726;430;1466951569.1261127
2;535;766;628;1466951569.1463087
2;549;696;788;1466951569.1665099
2;518;586;878;1466951569.186796
2;496;558;744;1466951569.2071931
2;557;590;616;1466951569.2272992
2;545;570;702;1466951569.2476902
2;515;546;760;1466951569.267774
2;556;560;688;1466951569.2878106
2;564;554;628;1466951569.307931
2;550;550;620;1466951569.3280468
2;485;518;666;1466951569.3482907
2;510;524;662;1466951569.368545
2;507;524;706;1466951569.388773
2;478;530;808;1466951569.408976
2;474;606;894;1466951569.429263
2;505;680;882;1466951569.4494941
2;538;694;718;1466951569.4699292
2;576;646;566;1466951569.490085
2;593;562;464;1466951569.5106907
2;550;542;452;1466951569.5311878
2;505;538;402;1466951569.5518007
2;475;522;358;1466951569.5723374
2;480;504;344;1466951569.5926979
2;488;486;386;1466951569.612825
2;490;474;422;1466951569.6329687
2;485;460;410;1466951569.6530762
2;470;442;414;1466951569.6732903
2;487;442;428;1466951569.693632
2;501;450;438;1466951569.7138014
2;499;458;368;1466951569.734048
2;477;460;294;1466951569.754279
2;525;530;264;1466951569.7745416
2;557;618;294;1466951569.7948692
2;566;726;424;1466951569.8150184
2;523;790;616;1466951569.83548
2;448;690;818;1466951569.8558705
2;579;628;810;1466951569.8759851
2;574;598;868;1466951569.8965337
2;487;572;682;1466951569.9167902
2;543;570;682;1466951569.9369335
2;566;544;760;1466951569.9573083
2;512;524;682;1466951569.9777286
2;505;522;640;1466951569.9978378
2;508;516;638;1466951570.017968
2;508;520;658;1466951570.0380094
2;497;522;736;1466951570.0581894
2;462;546;872;1466951570.078359
2;491;614;906;1466951570.098485
2;464;668;862;1466951570.1186872
2;505;674;698;1466951570.1388311
2;602;610;548;1466951570.1590765
2;587;562;536;1466951570.1794028
2;593;582;462;1466951570.1996453
2;548;576;404;1466951570.219864
2;472;546;362;1466951570.2400482
2;483;518;270;1466951570.26032
2;482;510;340;1466951570.280683
2;488;492;408;1466951570.301188
2;491;476;408;1466951570.3216162
2;485;450;402;1466951570.342161
2;482;436;400;1466951570.362371
2;486;440;416;1466951570.382675
2;499;460;398;1466951570.4027555
2;504;480;330;1466951570.422973
2;538;542;274;1466951570.4431071
2;578;654;336;1466951570.4633968
2;605;738;448;1466951570.4836466
2;503;780;690;1466951570.5038698
2;474;666;778;1466951570.5240827
2;617;644;872;1466951570.5445
2;456;560;778;1466951570.5649788
2;484;544;684;1466951570.5852177
2;586;558;702;1466951570.6056979
2;526;536;722;1466951570.6263688
2;501;526;698;1466951570.6470711
2;527;536;660;1466951570.667228
2;528;532;644;1466951570.6876326
2;524;530;648;1466951570.707962
2;492;526;736;1466951570.7281556
2;490;542;820;1466951570.7484615
2;525;586;818;1466951570.7688239
2;460;620;846;1466951570.7890093
2;465;664;764;1466951570.8094358
2;583;622;598;1466951570.829922
2;629;568;564;1466951570.850358
2;591;568;508;1466951570.8706992
2;513;548;470;1466951570.8915613
2;482;532;436;1466951570.912292
2;502;524;374;1466951570.9334352
2;492;516;340;1466951570.9537966
2;455;500;360;1466951570.9742045
2;451;484;356;1466951570.9946277
2;491;482;366;1466951571.0151136
2;512;478;396;1466951571.0355217
2;499;468;400;1466951571.055797
2;471;462;376;1466951571.0761197
2;466;470;378;1466951571.0963178
2;512;508;354;1466951571.1169758
2;538;542;326;1466951571.1375957
2;561;576;306;1466951571.157818
2;565;636;318;1466951571.1779573
2;550;774;442;1466951571.1981692
2;512;880;696;1466951571.2184882
2;437;700;918;1466951571.2387633
2;502;604;838;1466951571.2590196
2;557;590;820;1466951571.2793782
2;554;588;680;1466951571.299687
2;507;552;736;1466951571.3201673
2;485;460;698;1466951571.3405702
2;482;474;742;1466951571.3612814
2;562;528;572;1466951571.3820565
2;492;518;594;1466951571.4024796
2;497;514;640;1466951571.4230301
2;509;516;622;1466951571.4430702
2;512;522;598;1466951571.4632647
2;505;522;672;1466951571.4836187
2;449;510;812;1466951571.5039687
2;490;562;844;1466951571.5242937
2;498;590;862;1466951571.5446584
2;451;606;860;1466951571.5647476
2;502;624;726;1466951571.5850532
2;536;604;592;1466951571.6052916
2;496;598;584;1466951571.6258662
2;527;634;508;1466951571.6465333
2;587;624;424;1466951571.6670892
2;570;602;342;1466951571.6877038
2;511;560;304;1466951571.708015
2;476;558;308;1466951571.728117
2;524;558;298;1466951571.7484217
2;525;538;320;1466951571.768658
2;500;506;358;1466951571.7889762
2;487;494;382;1466951571.8092387
2;486;502;382;1466951571.8296635
2;511;522;336;1466951571.850153
2;543;542;314;1466951571.8705635
2;546;570;304;1466951571.8911295
